Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,13.635000,13.725000,13.610000,13.655000,13.062348,4223636
2017-10-25,13.670000,13.680000,13.500000,13.565000,12.976254,7339187
2017-10-26,13.730000,13.825000,13.635000,13.740000,13.143659,11097626
2017-10-27,13.845000,13.995000,13.760000,13.950000,13.344544,10408888
2017-10-30,14.110000,14.200000,14.075000,14.170000,13.554996,8822132
2017-10-31,14.140000,14.175000,14.070000,14.085000,13.473685,6671113
2017-11-01,14.120000,14.240000,14.080000,14.185000,13.569345,6578449
2017-11-02,14.215000,14.340000,14.185000,14.290000,13.669787,8231213
2017-11-03,14.380000,14.380000,14.240000,14.290000,13.669787,6659473
2017-11-06,14.290000,14.295000,14.215000,14.270000,13.650657,6382241
2017-11-07,14.305000,14.345000,14.245000,14.250000,13.631523,6041884
2017-11-08,14.295000,14.385000,14.270000,14.335000,13.712835,8002364
2017-11-09,14.345000,14.405000,14.225000,14.295000,13.674571,7073659
2017-11-10,14.345000,14.360000,14.215000,14.265000,13.645874,5624197
2017-11-13,14.305000,14.320000,14.025000,14.100000,13.488034,6981694
2017-11-14,14.120000,14.205000,13.925000,14.010000,13.401940,8967587
2017-11-15,13.955000,14.075000,13.895000,13.990000,13.382809,8318390
2017-11-16,14.050000,14.085000,13.960000,14.070000,13.459336,5941884
2017-11-17,14.120000,14.140000,13.995000,14.110000,13.497600,7062210
2017-11-20,14.105000,14.220000,14.040000,14.140000,13.526299,4937303
2017-11-21,14.145000,14.205000,14.100000,14.145000,13.531082,5130121
2017-11-22,14.135000,14.265000,14.120000,14.175000,13.559779,5482873
2017-11-23,14.160000,14.260000,14.095000,14.255000,13.636307,4834770
2017-11-24,14.255000,14.330000,14.175000,14.265000,13.645874,4067816
2017-11-27,14.260000,14.370000,14.225000,14.315000,13.693702,4647692
2017-11-28,14.355000,14.470000,14.320000,14.410000,13.784579,4921825
2017-11-29,14.470000,14.600000,14.390000,14.460000,13.832409,7812534
2017-11-30,14.465000,14.745000,14.380000,14.480000,13.851542,12912875
2017-12-01,14.470000,14.610000,14.350000,14.450000,13.822843,8773653
2017-12-04,14.520000,14.600000,14.420000,14.510000,13.880239,7055529
2017-12-05,14.250000,14.440000,14.240000,14.240000,13.860772,8623743
2017-12-06,14.170000,14.295000,14.105000,14.240000,13.860772,7636447
2017-12-07,14.260000,14.680000,14.165000,14.570000,14.181983,13743798
2017-12-08,14.740000,14.785000,14.595000,14.640000,14.250120,9032903
2017-12-11,14.750000,14.750000,14.620000,14.640000,14.250120,6898328
2017-12-12,14.705000,14.870000,14.590000,14.825000,14.430193,10019054
2017-12-13,14.830000,14.845000,14.655000,14.655000,14.264720,11841665
2017-12-14,14.695000,14.705000,14.550000,14.575000,14.186851,7854467
2017-12-15,14.575000,14.660000,14.530000,14.660000,14.269587,13655403
2017-12-18,14.715000,14.775000,14.695000,14.725000,14.332856,5105571
2017-12-19,14.740000,14.830000,14.675000,14.685000,14.293921,4722352
2017-12-20,14.685000,14.695000,14.490000,14.640000,14.250120,8796084
2017-12-21,14.640000,14.760000,14.515000,14.755000,14.362057,6575100
2017-12-22,14.755000,14.785000,14.575000,14.640000,14.250120,4875412
2017-12-27,14.635000,14.700000,14.550000,14.550000,14.162517,3713207
2017-12-28,14.570000,14.580000,14.455000,14.505000,14.118715,4067131
2017-12-29,14.460000,14.550000,14.445000,14.475000,14.089514,3966624
2018-01-02,14.520000,14.530000,14.390000,14.520000,14.133316,5623409
2018-01-03,14.530000,14.540000,14.370000,14.490000,14.104114,5713414
2018-01-04,14.525000,14.545000,14.420000,14.495000,14.108981,7180972
2018-01-05,14.515000,14.620000,14.475000,14.620000,14.230652,5739730
2018-01-08,14.625000,14.725000,14.590000,14.700000,14.308521,4569150
2018-01-09,14.705000,14.795000,14.650000,14.715000,14.323122,5486199
2018-01-10,14.705000,14.720000,14.400000,14.430000,14.045712,8749637
2018-01-11,14.475000,14.500000,14.265000,14.310000,13.928908,6937822
2018-01-12,14.380000,14.475000,14.345000,14.465000,14.079781,5334928
2018-01-15,14.515000,14.530000,14.375000,14.475000,14.089514,5143582
2018-01-16,14.530000,14.640000,14.470000,14.600000,14.211185,6444831
2018-01-17,14.580000,14.620000,14.520000,14.545000,14.157650,5085185
2018-01-18,14.600000,14.680000,14.395000,14.460000,14.074913,5300283
2018-01-19,14.465000,14.540000,14.370000,14.450000,14.065179,6810712
2018-01-22,14.450000,14.895000,14.425000,14.765000,14.371791,9548686
2018-01-23,14.875000,14.895000,14.705000,14.740000,14.347456,4863240
2018-01-24,14.820000,14.865000,14.625000,14.675000,14.284187,4717062
2018-01-25,14.660000,14.905000,14.655000,14.725000,14.332856,6469475
2018-01-26,14.760000,14.920000,14.705000,14.845000,14.449660,5770764
2018-01-29,14.835000,14.835000,14.640000,14.700000,14.308521,4728552
2018-01-30,14.675000,14.695000,14.525000,14.540000,14.152782,4851351
2018-01-31,14.615000,14.670000,14.520000,14.545000,14.157650,5168087
2018-02-01,14.595000,14.675000,14.430000,14.455000,14.070046,6647373
2018-02-02,14.420000,14.450000,14.025000,14.160000,13.782903,12588945
2018-02-05,14.090000,14.190000,13.935000,13.940000,13.568761,7342285
2018-02-06,13.650000,13.870000,13.580000,13.615000,13.252417,13385481
2018-02-07,13.745000,13.915000,13.660000,13.855000,13.486025,9233740
2018-02-08,13.790000,13.790000,13.465000,13.545000,13.184280,8842958
2018-02-09,13.520000,13.600000,13.315000,13.400000,13.043142,10298524
2018-02-12,13.590000,13.715000,13.430000,13.565000,13.203748,6196697
2018-02-13,13.555000,13.585000,13.415000,13.430000,13.072344,5341157
2018-02-14,13.475000,13.670000,13.415000,13.450000,13.091810,6651087
2018-02-15,13.520000,13.525000,13.415000,13.490000,13.130745,5595736
2018-02-16,13.570000,13.715000,13.560000,13.645000,13.281618,5487361
2018-02-19,13.650000,13.695000,13.530000,13.545000,13.184280,4208648
2018-02-20,13.600000,13.710000,13.535000,13.675000,13.310819,5685705
2018-02-21,13.900000,14.015000,13.655000,13.695000,13.330286,10570764
2018-02-22,13.680000,13.930000,13.615000,13.810000,13.442224,10027831
2018-02-23,13.885000,14.025000,13.800000,14.015000,13.641765,7089370
2018-02-26,14.150000,14.150000,13.950000,14.040000,13.666099,8035261
2018-02-27,14.090000,14.150000,13.865000,13.970000,13.597962,7563001
2018-02-28,13.900000,13.995000,13.875000,13.940000,13.568761,5571733
2018-03-01,13.880000,13.990000,13.805000,13.935000,13.563895,7588935
2018-03-02,13.870000,13.945000,13.685000,13.740000,13.374087,7631730
2018-03-05,13.715000,13.930000,13.675000,13.885000,13.515226,7046677
2018-03-06,14.015000,14.045000,13.885000,13.925000,13.554161,5471486
2018-03-07,13.910000,14.005000,13.845000,14.005000,13.632030,5512166
2018-03-08,13.980000,14.160000,13.965000,14.120000,13.743968,7253829
2018-03-09,14.110000,14.260000,14.080000,14.220000,13.841305,6346552
2018-03-12,14.290000,14.315000,14.140000,14.215000,13.836438,4612444
2018-03-13,14.255000,14.280000,13.960000,13.985000,13.612563,6805354
2018-03-14,13.980000,14.070000,13.940000,13.975000,13.602830,4902156
2018-03-15,14.035000,14.060000,13.910000,13.950000,13.578495,6133705
2018-03-16,13.950000,14.055000,13.905000,14.035000,13.661231,13330703
2018-03-19,14.005000,14.030000,13.885000,13.950000,13.578495,5042899
2018-03-20,13.985000,14.030000,13.835000,13.905000,13.534693,5042871
2018-03-21,13.910000,13.925000,13.750000,13.805000,13.437357,5118897
2018-03-22,13.730000,13.835000,13.520000,13.630000,13.267017,8140822
2018-03-23,13.530000,13.645000,13.480000,13.555000,13.194015,6616025
2018-03-26,13.590000,13.650000,13.385000,13.470000,13.111279,6178524
2018-03-27,13.670000,13.690000,13.555000,13.625000,13.262150,5327953
2018-03-28,13.535000,13.730000,13.445000,13.730000,13.364353,7112402
2018-03-29,13.750000,13.820000,13.660000,13.785000,13.417889,6218904
2018-04-03,13.725000,13.835000,13.650000,13.715000,13.349753,4296203
2018-04-04,13.735000,13.765000,13.580000,13.720000,13.354621,6326757
2018-04-05,13.925000,14.010000,13.825000,13.975000,13.602830,7178477
2018-04-06,13.930000,14.080000,13.900000,13.970000,13.597962,4397307
2018-04-09,14.025000,14.185000,13.995000,14.110000,13.734234,4743549
2018-04-10,14.180000,14.200000,14.110000,14.160000,13.782903,4650622
2018-04-11,14.185000,14.315000,14.080000,14.120000,13.743968,4771862
2018-04-12,14.125000,14.200000,14.055000,14.200000,13.821837,5295097
2018-04-13,14.180000,14.225000,14.120000,14.160000,13.782903,3860050
2018-04-16,14.160000,14.470000,14.090000,14.380000,13.997044,9817357
2018-04-17,14.425000,14.560000,14.390000,14.485000,14.099247,6943107
2018-04-18,14.510000,14.595000,14.470000,14.530000,14.143048,5693066
2018-04-19,14.530000,14.590000,14.475000,14.510000,14.123582,4718551
2018-04-20,14.515000,14.850000,14.500000,14.760000,14.366924,8261465
2018-04-23,14.710000,14.890000,14.670000,14.880000,14.483728,5649063
2018-04-24,14.865000,14.895000,14.720000,14.810000,14.415593,5173255
2018-04-25,14.735000,14.795000,14.590000,14.770000,14.376658,7757555
2018-04-26,14.770000,15.050000,14.700000,15.025000,14.624866,8802899
2018-04-27,15.000000,15.100000,14.925000,15.035000,14.634600,6354365
2018-04-30,15.075000,15.120000,15.040000,15.115000,14.712469,5794080
2018-05-02,15.085000,15.180000,15.020000,15.140000,14.736804,6017799
2018-05-03,15.110000,15.140000,15.020000,15.095000,14.693003,5769272
2018-05-04,15.075000,15.160000,15.065000,15.160000,14.756271,5346808
2018-05-07,15.110000,15.150000,15.015000,15.080000,14.678402,3580985
2018-05-08,15.075000,15.185000,14.995000,15.145000,14.741672,4945279
2018-05-09,15.160000,15.230000,14.975000,15.225000,14.819541,6030874
2018-05-10,15.155000,15.190000,15.020000,15.145000,14.741672,3877883
2018-05-11,15.105000,15.190000,15.055000,15.190000,14.785472,3824442
2018-05-14,15.200000,15.235000,15.010000,15.010000,14.610267,6373186
2018-05-15,14.980000,14.980000,14.420000,14.530000,14.143048,16764938
2018-05-16,14.520000,14.600000,14.455000,14.520000,14.133316,5928055
2018-05-17,14.545000,14.630000,14.515000,14.630000,14.240386,4505708
2018-05-18,14.615000,14.655000,14.355000,14.390000,14.006778,10308960
2018-05-21,14.465000,14.480000,14.245000,14.295000,13.914308,4935689
